DealerId,Dealer_Name,Dealer_Address,PhoneNumber,State_Code,State,Zipcode,City,Country,Latitude,Longitude
1,Alexander Motors Inc.,302 North Commercial Street,303-765-1492,NE,Nebraska,68978,Superior,USA,40.02467428,-98.070013
2,Becker Autos & Trailers,3008 US Highway 24,785-831-4160,KA,Kansas,67420,Beloit,USA,39.48076813,-98.11486389
3,Beloit Auto and Truck Plaza Ford,3133 US HIGHWAY 24,785-738-3573,KA,Kansas,67420,Beloit,USA,39.45980209,-98.09030737
4,Tripe Motor Company,814 Hwy 183 Alma ,308-920-5030,NE,Nebraska,68920,Alma,USA,40.10596555,-99.36754575
5,Paul Spady Motors,2850 Osborne Drive East,402-519-4936,NE,Nebraska,68901,Hastings,USA,40.6150915,-98.38141609
6,Kenesaw Motor Company,119 W Maple St,402-752-0040,NE,Nebraska,68956,Kenesaw,USA,40.62105794,-98.6588015
7,Jerry Spady Chevrolet GMC Cadillac,2750 Osborne Dr E,402-436-4000,NE,Nebraska,68901,Hastings,USA,40.61324049,-98.38042236
8,JJ Auto Sales,309 N WAshington St,785-203-8002,KA,Kansas,67663,Plainville,USA,39.23738419,-99.29867315
9,Kass Ford Sales,322 Lincoln Ave.,402-768-6064,NE,Nebraska,68370,Hebron,USA,40.16699878,-97.59125685
10,Lee Jansseen Motor,1221 US-6,877-671-9158,NE,Nebraska,68949,Holdrege,USA,40.43324716,-99.39585581
11,Pacific Fleet Sales,24432 Pacific Hwy S,253-258-0991,WA,Washington,98032,Kent,USA,47.38211138,-122.29721
12,Broadwalk Motors,1344 17th ST SE,253-289-5084,WA,Washington,98002,Auburn,USA,47.29340945,-122.2106116
13,Rainier Truck and Trailer,24225 Pacific Highway South,253-642-0566,WA,Washington,98198,Des Moines,USA,47.3839776,-122.2979174
14,Rairdon's Honda of Sumner,16302 Auto Ln,253-321-5313,WA,Washington,98390,Sumner,USA,47.19650519,-122.2120255
15,Sunset Ford of Sumner,6616 166th Ave E,253-863-2211,WA,Washington,98390,Sumner,USA,47.19696237,-122.2100533
16,Supreme Motors,4418 Auburn Way N,253-236-9125,WA,Washington,98002,Auburn,USA,47.34712261,-122.222286
17,Hertz Car Sales Seattle,14500 1ST Ave S,206-701-7411,WA,Washington,98168,Burien,USA,47.47273342,-122.3333882
18,Legend Auto Sales Inc,14650 1st Ave South,206-686-8266,WA,Washington,98168,Burien,USA,47.47107663,-122.3334175
19,"ALL Pro Auto Sales, LLC",22441 Pacific Hwy S,253-487-7227,WA,Washington,98198,Des Moines,USA,47.39956189,-122.2973561
20,Emerald Valley Auto Sales,22002 Pacific Hwy S,206-824-4457,WA,Washington,98198,Des Moines,USA,47.40496075,-122.2972415
21,Sunrise Automobile Corporation,22727 Marine View Dr S,206-824-2200,WA,Washington,98198,Des Moines,USA,47.39976199,-122.3231171
22,Northampton Auto Sales,50 Market St,413-584-8509,MA,Massachusetts,01060,Northampton,USA,42.31963668,-72.62317798
23,Mercedes-Benz Of Springfield,295 Burnett Rd,413-624-4100,MA,Massachusetts,01020,Chicopee,USA,42.1692493,-72.54630328
24,Ford of Greenfield,1 Main St,413-773-5455,MA,Massachusetts,01301,Greefield,USA,42.62168068,-72.61331139
25,Pleasant Journey Used Cars,459 Pleasant St,413-586-8150,MA,Massachusetts,01060,Northampton,USA,42.43811366,-72.6084443